Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,41.639999,41.820000,41.130001,41.759998,41.759998,502887
2022-11-11,41.470001,43.900002,41.470001,43.330002,43.330002,2228026
2022-11-14,43.169998,43.320000,42.560001,43.000000,43.000000,1329252
2022-11-15,43.500000,43.619999,42.119999,42.689999,42.689999,1620055
2022-11-16,42.570000,42.820000,42.240002,42.529999,42.529999,615959
2022-11-17,42.330002,43.349998,41.900002,42.869999,42.869999,770921
2022-11-18,42.900002,44.880001,42.900002,44.660000,44.660000,1365992
2022-11-22,44.209999,45.000000,43.250000,44.450001,44.450001,2436135
2022-11-23,44.450001,44.820000,44.150002,44.700001,44.700001,1087082
2022-11-24,44.889999,44.959999,43.470001,43.619999,43.619999,147971
2022-11-25,43.810001,44.330002,42.950001,43.570000,43.570000,580637
2022-11-28,43.759998,44.009998,43.090000,43.299999,43.299999,397488
2022-11-29,43.189999,43.299999,42.000000,43.240002,43.240002,1014928
2022-11-30,43.310001,43.480000,42.009998,43.480000,43.480000,1541058
2022-12-01,43.299999,44.630001,42.830002,43.980000,43.980000,1189203
2022-12-02,43.980000,45.090000,43.980000,44.830002,44.830002,1092508
2022-12-05,44.950001,44.950001,43.799999,43.970001,43.970001,1608291
2022-12-06,44.020000,46.580002,43.830002,45.389999,45.389999,1569287
2022-12-07,45.090000,45.630001,44.549999,44.959999,44.959999,2492234
2022-12-08,45.000000,45.500000,44.869999,45.250000,45.250000,1880121
2022-12-09,44.790001,44.889999,43.650002,44.110001,44.110001,2189402
2022-12-13,43.950001,44.119999,42.849998,43.779999,43.779999,1337615
2022-12-14,43.570000,44.000000,42.470001,43.230000,43.230000,1274952
